round,home_team,away_team,hm_score,aw_score,score_gap,hm_PWk_lad,aw_PWk_lad,PWk_lad_gap,hm_PWk_perc,aw_PWk_perc,PWk_perc_gap,hm_PWk_pts,aw_PWk_pts,PWk_pts_gap,hm_PWk_pts_stan,aw_PWk_pts_stan,PWk_pts_gap_stan,hm_PY,hm_PY_perc,hm_2PY,hm_2PY_perc,hm_3PY,hm_3PY_perc,hm_4PY,hm_4PY_perc,hm_PY_2PY,hm_PY_3PY,hm_PY_4PY,hm_Pypc_2Pypc,hm_Pypc_3Pypc,hm_Pypc_4Pypc,aw_PY,aw_PY_perc,aw_2PY,aw_2PY_perc,aw_3PY,aw_3PY_perc,aw_4PY,aw_4PY_perc,aw_PY_2PY,aw_PY_3PY,aw_PY_4PY,aw_Pypc_2Pypc,aw_Pypc_3Pypc,aw_Pypc_4Pypc,PY_gap,PY_%_gap,2PY_gap,2PY_%_gap,3PY_gap,3PY_%_gap,4PY_gap,4PY_%_gap,hm_Dr_PY,hm_Dr_2PY,hm_Dr_3py,hm_Dr_4py,hm_Dr_Tot,aw_Dr_PY,aw_Dr_2PY,aw_Dr_3py,aw_Dr_4py,aw_Dr_Tot,Dr_PY_gap,Dr_2PY_gap,Dr_3PY_gap,Dr_4PY_gap,Dr_Tot_gap,hm_Pwk_win,hm_2Pwk_win,hm_3Pwk_win,hm_4Pwk_win,aw_Pwk_win,aw_2Pwk_win,aw_3Pwk_win,aw_4Pwk_win,hm_win_1,hm_win_2,hm_win_3,hm_win_4,aw_win_1,aw_win_2,aw_win_3,aw_win_4,h_win_1_gap,h_win_2_gap,h_win_3_gap,h_win_4_gap,a_win_1_gap,a_win_2_gap,a_win_3_gap,a_win_4_gap,Interstate,PWk_hm,home_win
1,CA,RI,64,97,-33,18,1,-17,59.3,136.1,-76.8,8,72,64,0.347826087,3.130434783,2.782608696,18,59.3,16,78.2,14,79.3,18,64.8,2,4,0,-18.9,-20,-5.5,1,136.1,3,118.3,13,79.5,5,123.1,-2,-12,-4,17.8,56.6,13,17,-76.8,13,-40.1,1,-0.2,13,-58.3,244,309,335,401,1289,217,341,146,168,872,27,-32,189,233,417,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0
1,CW,GE,65,72,-7,3,8,5,120.4,131.6,-11.2,60,52,-8,2.608695652,2.260869565,-0.347826087,3,120.4,13,99,12,95.6,12,106.3,-10,-9,-9,21.4,24.8,14.1,8,131.6,2,117.4,2,143.8,10,101.1,6,6,-2,14.2,-12.2,30.5,-5,-11.2,11,-18.4,10,-48.2,2,5.2,181,205,228,182,796,280,261,294,136,971,-99,-56,-66,46,-175,1,1,1,0.75,1,1,0.666666667,0.5,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1,ME,PA,61,87,-26,5,10,5,131.4,107.6,23.8,56,48,-8,2.434782609,2.086956522,-0.347826087,5,131.4,9,105.2,11,97.6,13,77,-4,-6,-8,26.2,33.8,54.4,10,107.6,5,129.7,10,106,9,106.8,5,0,1,-22.1,1.6,0.8,-5,23.8,4,-24.5,1,-8.4,4,-29.8,256,255,90,299,900,316,223,301,118,958,-60,32,-211,181,-58,1,1,0.666666667,0.75,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,AD,HW,55,87,-32,12,4,-8,104.1,120.1,-16,48,60,12,2.086956522,2.608695652,0.52173913,12,104.1,1,136,5,138.3,7,115.7,11,7,5,-31.9,-34.2,-11.6,4,120.1,12,90.7,3,118.6,3,158.4,-8,1,1,29.4,1.5,-38.3,8,-16,-11,45.3,2,19.7,4,-42.7,281,148,253,172,854,85,117,50,215,467,196,31,203,-43,387,1,1,0.666666667,0.75,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
1,WB,SY,82,65,17,13,6,-7,77.3,109.5,-32.2,32,56,24,1.391304348,2.434782609,1.043478261,13,77.3,10,97.1,7,115.4,6,115.1,3,6,7,-19.8,-38.1,-37.8,6,109.5,6,126.8,1,151.2,4,127.1,0,5,2,-17.3,-41.7,-17.6,7,-32.2,4,-29.7,6,-35.8,2,-12,307,201,234,266,1008,270,200,275,190,935,37,1,-41,76,73,0,0.5,0.666666667,0.75,0,0.5,0.666666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,BL,WC,102,58,44,15,2,-13,89.1,121.4,-32.3,20,64,44,0.869565217,2.782608696,1.913043478,15,89.1,18,74.3,17,61.6,17,67.5,-3,-2,-2,14.8,27.5,21.6,2,121.4,8,105.7,6,130,2,148.2,-6,-4,0,15.7,-8.6,-26.8,13,-32.3,10,-31.4,11,-68.4,15,-80.7,306,428,407,374,1515,206,370,221,217,1014,100,58,186,157,501,0,0.5,0.333333333,0.25,1,0.5,0.666666667,0.75,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,SK,GC,85,84,1,16,17,1,75.6,59.9,15.7,18,16,-2,0.782608696,0.695652174,-0.086956522,16,75.6,11,96.9,9,95.7,14,78.4,5,7,2,-21.3,-20.1,-2.8,17,59.9,17,76,15,78.2,16,72.9,0,2,1,-16.1,-18.3,-13,-1,15.7,-6,20.9,-6,17.5,-2,5.5,287,304,180,193,964,395,232,403,286,1316,-108,72,-223,-93,-352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,GW,ES,112,40,72,7,11,4,114.3,105.1,9.2,54,48,-6,2.347826087,2.086956522,-0.260869565,7,114.3,4,114.8,4,143.1,11,99,3,3,-4,-0.5,-28.8,15.3,11,105.1,7,106.5,18,61,15,74,4,-7,-4,-1.4,44.1,31.1,-4,9.2,-3,8.3,-14,82.1,-4,25,434,314,447,323,1518,130,109,341,444,1024,304,205,106,-121,494,0,0,0.333333333,0.5,1,0.5,0.666666667,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,FR,NM,141,59,82,14,9,-5,76.2,108.9,-32.7,32,48,16,1.391304348,2.086956522,0.695652174,14,76.2,14,74.4,16,74.3,1,118.7,0,-2,13,1.8,1.9,-42.5,9,108.9,15,87.6,8,105.2,8,106.5,-6,1,1,21.3,3.7,2.4,5,-32.7,-1,-13.2,8,-30.9,-7,12.2,235,408,247,219,1109,228,262,245,312,1047,7,146,2,-93,62,0,0,0.333333333,0.25,1,0.5,0.333333333,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2,RI,CW,66,110,-44,5,11,6,151.6,90.3,61.3,4,0,-4,4,0,-4,1,136.1,3,118.3,13,79.5,5,123.1,-2,-12,-4,17.8,56.6,13,3,120.4,13,99,12,95.6,12,106.3,-10,-9,-9,21.4,24.8,14.1,-2,15.7,-10,19.3,1,-16.1,-7,16.8,217,341,146,168,872,181,205,228,182,796,36,136,-82,-14,76,1,1,1,1,0,0.5,0.666666667,0.75,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2,SY,AD,62,88,-26,12,15,3,79.3,63.2,16.1,0,0,0,0,0,0,6,109.5,6,126.8,1,151.2,4,127.1,0,5,2,-17.3,-41.7,-17.6,12,104.1,1,136,5,138.3,7,115.7,11,7,5,-31.9,-34.2,-11.6,-6,5.4,5,-9.2,-4,12.9,-3,11.4,270,200,275,190,935,281,148,253,172,854,-11,52,22,18,81,0,0,0.333333333,0.5,0,0.5,0.666666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,ES,SK,65,76,-11,18,9,-9,35.7,101.2,-65.5,0,4,4,0,4,4,11,105.1,7,106.5,18,61,15,74,4,-7,-4,-1.4,44.1,31.1,16,75.6,11,96.9,9,95.7,14,78.4,5,7,2,-21.3,-20.1,-2.8,-5,29.5,-4,9.6,9,-34.7,1,-4.4,130,109,341,444,1024,287,304,180,193,964,-157,-195,161,251,60,0,0.5,0.333333333,0.5,1,0.5,0.333333333,0.25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
